Segment Dimension,Member,Sample Metric,Value
PropertyPlantAndEquipmentByTypeAxis,OperatingLeaseVehiclesMember,DeferredCostsLeasingNetNoncurrent,5477000000
PropertyPlantAndEquipmentByTypeAxis,SolarEnergySystemsMember,LeasedAssetsNet,4855000000
PropertyPlantAndEquipmentByTypeAxis,MachineryEquipmentVehiclesAndOfficeFurnitureMember,PropertyPlantAndEquipmentGross,18789000000
ProductOrServiceAxis,AutomotiveSalesMember,RevenueFromContractWithCustomerExcludingAssessedTax,12925000000
ProductOrServiceAxis,AutomotiveRegulatoryCreditsMember,RevenueFromContractWithCustomerExcludingAssessedTax,595000000
ProductOrServiceAxis,AutomotiveLeasingMember,RevenueFromContractWithCustomerExcludingAssessedTax,447000000
StatementEquityComponentsAxis,CommonStockMember,SharesIssued,3216000000
StatementEquityComponentsAxis,AdditionalPaidInCapitalMember,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,38371000000
StatementEquityComponentsAxis,AccumulatedOtherComprehensiveIncomeMember,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-670000000
CumulativeEffectPeriodOfAdoptionAxis,CumulativeEffectPeriodOfAdoptionAdjustmentMember,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,236000000
BalanceSheetLocationAxis,OtherNoncurrentAssetsMember,NotesReceivableNet,747000000
BalanceSheetLocationAxis,PrepaidExpensesAndOtherCurrentAssetsMember,SalesTypeLeaseNetInvestmentInLease,151000000
BalanceSheetLocationAxis,CashAndCashEquivalentsMember,AvailableForSaleSecuritiesDebtSecurities,14900000000
